ntacode,ntaname,Outdooor_Heat_Vulnerability_Index
BK43,Midwood,3
BK75,Bedford,2.8
BX40,Fordham South,3.8
BK88,Borough Park,3.4
BK96,Rugby-Remsen Village,3.8
QN52,East Flushing,3
QN53,Woodhaven,3.4
BK44,Madison,3.2
QN48,Auburndale,3.4
BX44,Williamsbridge-Olinville,3.6
QN51,Murray Hill,2.8
QN27,East Elmhurst,3.8
BK81,Brownsville,3.2
BK85,East New York (Pennsylvania Ave),3.4
BK41,Kensington-Ocean Parkway,3
BX46,Parkchester,2.2
BK95,Erasmus,3.6
QN33,Cambria Heights,3.6
BK91,East Flatbush-Farragut,3.6
BK46,Ocean Parkway South,3.4
BK93,Starrett City,2
BX35,Morrisania-Melrose,3
QN29,Elmhurst,3.8
MN22,East Village,2.8
QN44,Glen Oaks-Floral Park-New Hyde Park,2.6
BX33,Longwood,3.8
MN32,Yorkville,2.6
MN40,Upper East Side-Carnegie Hill,3.4
BK40,Windsor Terrace,2
QN12,Hammels-Arverne-Edgemere,3.2
BX98,Rikers Island,3.2
BX27,Hunts Point,4
QN28,Jackson Heights,2.6
BK27,Bath Beach,3.2
SI36,Old Town-Dongan Hills-South Beach,3
BK42,Flatbush,2
BX34,Melrose South-Mott Haven North,3.4
BK79,Ocean Hill,3.4
MN09,Morningside Heights,1.8
BX55,Soundview-Bruckner,2.6
BX31,Allerton-Pelham Gardens,3.2
QN06,Jamaica Estates-Holliswood,2.2
QN07,Hollis,3.8
BK58,Flatlands,3.4
BK82,East New York,3.4
BX30,Kingsbridge Heights,3
QN02,Springfield Gardens North,3.4
BK50,Canarsie,2.4
BX43,Norwood,2
MN06,Manhattanville,2.4
MN23,West Village,3.4
SI14,Grasmere-Arrochar-Ft. Wadsworth,3
QN34,Queens Village,3.8
MN27,Chinatown,3.2
BX10,Pelham Bay-Country Club-City Island,2.6
BX62,Woodlawn-Wakefield,3.2
QN71,Old Astoria,3
QN70,Astoria,3
MN50,Stuyvesant Town-Cooper Village,1.6
BK30,Dyker Heights,3.2
BK28,Bensonhurst West,3.8
SI22,West New Brighton-New Brighton-St. George,2
SI35,New Brighton-Silver Lake,2
SI07,Westerleigh,2.4
BX36,University Heights-Morris Heights,2.6
QN46,Bayside-Bayside Hills,2.6
BK61,Crown Heights North,2.2
BX14,East Concourse-Concourse Village,4.2
QN26,North Corona,4
BK83,Cypress Hills-City Line,2.8
QN37,Kew Gardens Hills,2.6
QN38,Pomonok-Flushing Heights-Hillcrest,2.8
BK73,North Side-South Side,3.8
MN28,Lower East Side,2.2
BK76,Greenpoint,4
BX29,Spuyten Duyvil-Kingsbridge,1.8
BK34,Sunset Park East,3
MN01,Marble Hill-Inwood,3.4
BK25,Homecrest,3.6
MN35,Washington Heights North,1.6
QN72,Steinway,3.4
BX39,Mott Haven-Port Morris,3.8
BK23,West Brighton,3.4
MN03,Central Harlem North-Polo Grounds,2.6
QN68,Queensbridge-Ravenswood-Long Island City,3.6
SI45,New Dorp-Midland Beach,3.6
BX28,Van Cortlandt Village,2.2
BX13,Co-op City,3.2
BK31,Bay Ridge,1.6
BK32,Sunset Park West,3.8
BK68,Fort Greene,1.8
MN24,SoHo-TriBeCa-Civic Center-Little Italy,3.8
MN25,Battery Park City-Lower Manhattan,3.4
MN15,Clinton,3.8
BK64,Prospect Heights,2
QN76,Baisley Park,3
QN01,South Jamaica,3.6
QN56,Ozone Park,3.6
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3
BK19,Brighton Beach,3.4
BK29,Bensonhurst East,3.8
BX08,West Farms-Bronx River,2.8
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3
BX59,Westchester-Unionport,4
SI25,Oakwood-Oakwood Beach,2.8
SI08,Grymes Hill-Clifton-Fox Hills,1.8
BK37,Park Slope-Gowanus,2.4
SI37,Stapleton-Rosebank,2.8
QN41,Fresh Meadows-Utopia,2.6
QN43,Bellerose,2.4
BK35,Stuyvesant Heights,2.2
BK90,East Williamsburg,4.4
QN20,Ridgewood,2.6
MN33,East Harlem South,2.4
QN18,Rego Park,3
MN34,East Harlem North,2.6
BK77,Bushwick North,3.8
BK78,Bushwick South,3.6
MN11,Central Harlem South,2.8
QN23,College Point,3.4
MN17,Midtown-Midtown South,3.4
QN19,Glendale,3
SI11,Charleston-Richmond Valley-Tottenville,1.8
SI99,park-cemetery-etc-Staten Island,2.8
SI05,New Springville-Bloomfield-Travis,2.6
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1.8
QN55,South Ozone Park,4.2
QN57,Lindenwood-Howard Beach,3.6
BK60,Prospect Lefferts Gardens-Wingate,2.6
MN20,Murray Hill-Kips Bay,3.4
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,3
BK63,Crown Heights South,2.8
BK09,Brooklyn Heights-Cobble Hill,2.4
SI28,Port Richmond,3.6
QN31,Hunters Point-Sunnyside-West Maspeth,4
BX01,Claremont-Bathgate,3.6
BX37,Van Nest-Morris Park-Westchester Square,3.8
BX49,Pelham Parkway,2.4
BX41,Mount Hope,3.6
QN47,Ft. Totten-Bay Terrace-Clearview,1.8
QN49,Whitestone,3.2
MN19,Turtle Bay-East Midtown,3.4
MN31,Lenox Hill-Roosevelt Island,2.4
QN50,Elmhurst-Maspeth,3.6
QN63,Woodside,3.6
QN08,St. Albans,3.4
QN66,Laurelton,3.8
MN04,Hamilton Heights,1.6
QN61,Jamaica,4.4
QN54,Richmond Hill,4.2
QN35,Briarwood-Jamaica Hills,3.2
QN60,Kew Gardens,1.8
QN21,Middle Village,2
QN30,Maspeth,4.2
MN12,Upper West Side,2.2
MN14,Lincoln Square,3
BX07,Bronxdale,2.8
QN42,Oakland Gardens,2.2
QN45,Douglas Manor-Douglaston-Little Neck,2
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,1.8
SI54,Great Kills,2.4
BK21,Seagate-Coney Island,3.2
QN25,Corona,4.2
BX52,Schuylerville-Throgs Neck-Edgewater Park,3.2
BK26,Gravesend,3
BX17,East Tremont,3.8
BX22,North Riverdale-Fieldston-Riverdale,1.8
BX05,Bedford Park-Fordham North,3
BX06,Belmont,3
BX03,Eastchester-Edenwald-Baychester,2.6
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,3.4
BX75,Crotona Park East,3.8
SI32,Rossville-Woodrow,2
SI48,Arden Heights,2.2
QN15,Far Rockaway-Bayswater,3.2
BX09,Soundview-Castle Hill-Clason Point-Harding Park,3.2
BX99,park-cemetery-etc-Bronx,1.8
BK33,Carroll Gardens-Columbia Street-Red Hook,3
MN99,park-cemetery-etc-Manhattan,1.6
QN05,Rosedale,3
QN22,Flushing,3.6
QN62,Queensboro Hill,3
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3.8
MN21,Gramercy,3.6
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3
BK69,Clinton Hill,2.2
BK72,Williamsburg,3.4
BK99,park-cemetery-etc-Brooklyn,2.4
MN36,Washington Heights South,2.2
BX26,Highbridge,2.8
BX63,West Concourse,3.8
QN17,Forest Hills,2.2
QN99,park-cemetery-etc-Queens,1.8
QN03,Springfield Gardens South-Brookville,4
QN98,Airport,4
